,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
204,0.0006000518798828125,0.0004899404088551902,0.0003998279571533203,0.0004896872457665585,0.005,2,2.1544346900318822e-08,linear,"{'C': 0.005, 'degree': 2, 'gamma': 2.1544346900318822e-08, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
417,0.000800466537475586,0.00040023387589729285,0.0003997802734375,0.0004896292110796945,0.01,3,0.00021544346900318823,poly,"{'C': 0.01, 'degree': 3, 'gamma': 0.00021544346900318823, 'kernel': 'poly'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
232,0.0010010242462158204,1.4972990482432922e-06,0.0,0.0,0.005,2,46.41588833612773,linear,"{'C': 0.005, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
697,0.000599813461303711,0.0004897461278310195,0.00019979476928710938,0.00039958953857421875,0.1,2,0.00021544346900318823,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.00021544346900318823, 'kernel': 'poly'}",0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
308,0.00039992332458496096,0.0004898040929593269,0.0,0.0,0.005,4,2.154434690031878,linear,"{'C': 0.005, 'degree': 4, 'gamma': 2.154434690031878, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
248,0.0005998611450195312,0.0004897846281002358,0.00040001869201660155,0.000489920893719676,0.005,3,4.6415888336127725e-07,linear,"{'C': 0.005, 'degree': 3, 'gamma': 4.6415888336127725e-07, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
200,0.00039992332458496096,0.0004898050213854599,0.0002002716064453125,0.000400543212890625,0.005,2,1e-09,linear,"{'C': 0.005, 'degree': 2, 'gamma': 1e-09, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
280,0.0003998279571533203,0.0004896873850638213,0.0006000041961669922,0.0004899014984783089,0.005,4,1e-09,linear,"{'C': 0.005, 'degree': 4, 'gamma': 1e-09, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
312,0.0005992412567138672,0.0004892789252053083,0.00020012855529785156,0.0004002571105957031,0.005,4,46.41588833612773,linear,"{'C': 0.005, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
196,0.0004004955291748047,0.0004905051292965881,0.0005998611450195312,0.0004897846281002358,0.005,1,1000.0,linear,"{'C': 0.005, 'degree': 1, 'gamma': 1000.0, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
252,0.00040030479431152344,0.0004902712960007588,0.000599813461303711,0.0004897461278310195,0.005,3,1e-05,linear,"{'C': 0.005, 'degree': 3, 'gamma': 1e-05, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
160,0.0006000041961669922,0.000489901753744907,0.00019965171813964843,0.00039930343627929686,0.005,1,1e-09,linear,"{'C': 0.005, 'degree': 1, 'gamma': 1e-09, 'kernel': 'linear'}",0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9333333333333332,0.06236095644623235,1
